Strategy for uncertainty,Definition,category,Example 1,Example 2,Example 3,Related strategies and aliases,Notes,Note 2,ref-note,reference1,reference2
Accelerate adaptation,Accelerate adaptation to the adversary by e.g. analyzing past moves of an adversary and developing new tactics,adversarial,A military officer analyzes the moves of the enemy and continuously learns lessons for future operations,Firms in a highly competitive market collects information on its competitors and adjusts its prices and strategy,,,,,,Hoffman: Mars Adapting (978-1682475898),
Adjust planning horizon,Lengthen or shorten the planning horizon to match the ability to forecast,config - org,Financial advisor recommends holding stocks for at least several year due to volatility,Manager uses quarterly rather than annual goals due to uncertainty about long-term strategy,,,,,,https://doi.org/10.1016/j.omega.2018.09.008,http://dx.doi.org/10.2139/ssrn.2513088
Amass resources,Make the arsenal of resources as large as possible,formal - algo,A general builds as large an army as possible to prepare for uncertain enemy size,An investor raises as much funds as possible to manage unexpected costs and delays,A logistics officer ahead of a military operation tries to build up the stores of all needed parts and supplies to the maximal extent possible,"Factor of safety - but here we don't even know the baseline ""minimum"" and the strategy is to amass ""as much as possible""","macro strategy related to Factor of Safety, Contingency planning",,,https://apps.dtic.mil/sti/citations/ADA464554,
Anomaly detection and investigation,seek out anomalous readings and trigger alerts,reactive - ID,"A software developer monitors for errors and their context in a new mobile app, and then investigates the causes of emerging errors",A counterintelligence officer investigates anomalous access to sensitive data in order to detect potential espionage,,Hypothetico-deductive method,"Often anomaly is detected using software, but this is because software is very useful across different domains",,,https://doi.org/10.1109/ACCESS.2019.2921912,
Asymmetric offsets,Invest in capability that can neutralize an opponent's possible strength,adversarial,Xerxes builds a bride that allows him to send an army to Greece without fear of the Greek navy,Militarily weak states acquire nuclear weapons,,,,,,https://www.fpri.org/article/2019/04/andy-marshalls-century/,10.1017/S1816383107000781
Automatic containment system,A physical system that automatically responds to impacting events by containing the damage,reactive - respond,A building's fire suppression system automatically floods affected floors to contain the fire,"Upon detecting a current anomaly, the power grid shuts down affected regions in order to protect the rest of the system",A computer network protocol is designed to detect incorrect routes and reroute packets around them,,,,,10.1109/ISADS.2003.1193942,https://doi.org/10.1201/1079/43273.29.5.20011101/31414.1
Basic research,Conduct research into the phenomenon trying to better understand its sources and dynamics,enabler,Gov planners fund research into asteroid formation to understand planetary impact risks,A hedge fund conducts research into how bank failures would affect different sectors of the economy,,,,,,https://doi.org/10.1177/0162243905283642,
Blue/green deployment,use a mixture of new and old solutions in order to provide a fallback if the new solutions fail,config - system,A cloud engineer uses multiple versions of a software in the cloud to allow failures to fall back to a proven version,A factory manager introduces a new better assembly line but does not immediately shut down the old line in case of unexpected problems,,post-release monitoring,The idea is in the style of post-release testing but is done later in the development cycle and involves keeping an old but tested solution around longer as a backup,,,10.1007/978-3-030-45989-5_6,
Bluff,"When playing against a risk-averse opponent, bluff",adversarial; harnessing,A poker player makes a high bet in order to cause his risk-averse opponent to fold,A statesman uses a show of force to impress readiness to go to war,,,,,,https://doi.org/10.1007/978-3-642-12337-5_11,
Canary detection,Use a proxy to detect hazards or bound the potential effect of hazards,reactive - ID,a software firm deploys a software update to part of its userbase to reduce the effect of errors,A miner uses a bird to detect likely depletion of oxygen or poison in the air,,,there are two versions: classic canary bird and canary deployment,,,https://doi.org/10.1109/ACCESS.2024.3416087,
